"AU","Season","Samples","type","Assessment"
"AR_11110206_808","No Trout",4,"Acute","Not Enough Information"
"AR_11110206_914","No Trout",6,"Acute","Not Enough Information"
"AR_11110207_001","No Trout",11,"Acute","ATTAIN"
"AR_11110207_008","No Trout",24,"Acute","ATTAIN"
"AR_11110207_011","No Trout",23,"Acute","ATTAIN"
"AR_11110207_022","No Trout",24,"Acute","ATTAIN"
"AR_11110207_023","No Trout",8,"Acute","Not Enough Information"
"AR_11110207_024","No Trout",55,"Acute","ATTAIN"
"AR_11110207_4072","No Trout",1,"Acute","Not Enough Information"
"AR_11110207_724","No Trout",4,"Acute","Not Enough Information"
"AR_11110207_822","No Trout",25,"Acute","ATTAIN"
"AR_11110207_824","No Trout",4,"Acute","Not Enough Information"
"AR_11110207_826","No Trout",23,"Acute","ATTAIN"
"AR_11110207_912","No Trout",4,"Acute","Not Enough Information"
"AR_11140106_002","No Trout",24,"Acute","ATTAIN"
"AR_11140106_005","No Trout",33,"Acute","ATTAIN"
"AR_11140108_012","No Trout",6,"Acute","Not Enough Information"
"AR_11140108_014","No Trout",32,"Acute","ATTAIN"
"AR_11140108_019","No Trout",4,"Acute","Not Enough Information"
"AR_11140108_907","No Trout",5,"Acute","Not Enough Information"
"AR_11140109_010","No Trout",31,"Acute","ATTAIN"
"AR_11140109_011","No Trout",24,"Acute","ATTAIN"
"AR_11140109_013","No Trout",24,"Acute","ATTAIN"
"AR_11140109_014","No Trout",32,"Acute","ATTAIN"
"AR_11140109_018","No Trout",32,"Acute","ATTAIN"
"AR_11140109_019","No Trout",8,"Acute","Not Enough Information"
"AR_11140109_020","No Trout",4,"Acute","Not Enough Information"
"AR_11140109_021","No Trout",25,"Acute","ATTAIN"
"AR_11140109_023","No Trout",33,"Acute","ATTAIN"
"AR_11140109_025","No Trout",30,"Acute","ATTAIN"
"AR_11140109_026","No Trout",32,"Acute","ATTAIN"
"AR_11140109_029","No Trout",6,"Acute","Not Enough Information"
"AR_11140109_032","No Trout",24,"Acute","ATTAIN"
"AR_11140109_034","No Trout",24,"Acute","ATTAIN"
"AR_11140109_4020","No Trout",1,"Acute","Not Enough Information"
"AR_11140109_4021","No Trout",6,"Acute","Not Enough Information"
"AR_11140109_4070","No Trout",6,"Acute","Not Enough Information"
"AR_11140109_4071","No Trout",6,"Acute","Not Enough Information"
"AR_11140109_4080","No Trout",5,"Acute","Not Enough Information"
"AR_11140109_4081","No Trout",6,"Acute","Not Enough Information"
"AR_11140109_4090","No Trout",6,"Acute","Not Enough Information"
"AR_11140109_4091","No Trout",6,"Acute","Not Enough Information"
"AR_11140109_533","No Trout",19,"Acute","ATTAIN"
"AR_11140109_710","No Trout",1,"Acute","Not Enough Information"
"AR_11140109_718","No Trout",6,"Acute","Not Enough Information"
"AR_11140109_719","No Trout",4,"Acute","Not Enough Information"
"AR_11140109_810","No Trout",22,"Acute","ATTAIN"
"AR_11140109_820","No Trout",22,"Acute","ATTAIN"
"AR_11140109_913","No Trout",32,"Acute","ATTAIN"
"AR_11140109_916","No Trout",25,"Acute","ATTAIN"
"AR_11140109_918","No Trout",35,"Acute","ATTAIN"
"AR_11140109_921","No Trout",3,"Acute","Not Enough Information"
"AR_11140109_927","No Trout",64,"Acute","ATTAIN"
"AR_11140109_929","No Trout",6,"Acute","Not Enough Information"
"AR_11140109_933","No Trout",30,"Acute","ATTAIN"
"AR_11140109_934","No Trout",31,"Acute","ATTAIN"
"AR_11140109_935","No Trout",23,"Acute","ATTAIN"
"AR_11140201_002","No Trout",25,"Acute","ATTAIN"
"AR_11140201_003","No Trout",33,"Acute","ATTAIN"
"AR_11140201_007","No Trout",34,"Acute","ATTAIN"
"AR_11140201_010","No Trout",26,"Acute","ATTAIN"
"AR_11140201_011","No Trout",33,"Acute","ATTAIN"
"AR_11140201_4010","No Trout",2,"Acute","Not Enough Information"
"AR_11140201_913","No Trout",21,"Acute","ATTAIN"
"AR_11140203_022","No Trout",29,"Acute","ATTAIN"
"AR_11140203_823","No Trout",23,"Acute","ATTAIN"
"AR_11140205_006","No Trout",30,"Acute","ATTAIN"
"AR_11140205_010","No Trout",23,"Acute","ATTAIN"
"AR_11140205_013","No Trout",22,"Acute","ATTAIN"
"AR_11140205_4022","No Trout",2,"Acute","Not Enough Information"
"AR_11140205_902","No Trout",24,"Acute","ATTAIN"
"AR_11140302_003","No Trout",33,"Acute","ATTAIN"
"AR_11140302_006","No Trout",33,"Acute","ATTAIN"
"AR_11140302_803","No Trout",24,"Acute","ATTAIN"
"AR_11140302_903","No Trout",24,"Acute","ATTAIN"
"AR_11140304_908","No Trout",22,"Acute","ATTAIN"
"AR_08020203_008","ELA",10,"Chronic","ATTAIN"
"AR_08020203_008","ELP",17,"Chronic","ATTAIN"
"AR_08020203_4030","ELA",4,"Chronic","Not Enough Information"
"AR_08020203_4030","ELP",2,"Chronic","Not Enough Information"
"AR_08020203_4060","ELA",2,"Chronic","Not Enough Information"
"AR_08020203_4060","ELP",8,"Chronic","Not Enough Information"
"AR_08020203_714","ELA",13,"Chronic","ATTAIN"
"AR_08020203_714","ELP",20,"Chronic","ATTAIN"
"AR_08020205_001","ELA",12,"Chronic","ATTAIN"
"AR_08020205_001","ELP",15,"Chronic","ATTAIN"
"AR_08020205_004","ELA",12,"Chronic","ATTAIN"
"AR_08020205_004","ELP",19,"Chronic","ATTAIN"
"AR_08020205_008","ELA",12,"Chronic","ATTAIN"
"AR_08020205_008","ELP",17,"Chronic","ATTAIN"
"AR_08020301_001","ELA",10,"Chronic","ATTAIN"
"AR_08020301_001","ELP",16,"Chronic","ATTAIN"
"AR_08020301_006","ELA",13,"Chronic","ATTAIN"
"AR_08020301_006","ELP",19,"Chronic","ATTAIN"
"AR_08020301_007","ELA",13,"Chronic","ATTAIN"
"AR_08020301_007","ELP",19,"Chronic","ATTAIN"
"AR_08020301_015","ELA",11,"Chronic","ATTAIN"
"AR_08020301_015","ELP",16,"Chronic","ATTAIN"
"AR_08020302_009","ELA",13,"Chronic","ATTAIN"
"AR_08020302_009","ELP",19,"Chronic","ATTAIN"
"AR_08020302_016","ELA",1,"Chronic","Not Enough Information"
"AR_08020302_016","ELP",7,"Chronic","Not Enough Information"
"AR_08020302_4020","ELA",2,"Chronic","Not Enough Information"
"AR_08020302_4020","ELP",2,"Chronic","Not Enough Information"
"AR_08020302_909","ELA",13,"Chronic","ATTAIN"
"AR_08020302_909","ELP",19,"Chronic","ATTAIN"
"AR_08020302_910","ELA",13,"Chronic","ATTAIN"
"AR_08020302_910","ELP",20,"Chronic","ATTAIN"
"AR_08020303_005","ELA",12,"Chronic","ATTAIN"
"AR_08020303_005","ELP",19,"Chronic","ATTAIN"
"AR_08020303_014","ELA",12,"Chronic","ATTAIN"
"AR_08020303_014","ELP",17,"Chronic","ATTAIN"
"AR_08020304_014","ELA",12,"Chronic","ATTAIN"
"AR_08020304_014","ELP",14,"Chronic","ATTAIN"
"AR_08020304_4060","ELA",3,"Chronic","Not Enough Information"
"AR_08020304_4060","ELP",4,"Chronic","Not Enough Information"
"AR_08020401_001","ELA",12,"Chronic","ATTAIN"
"AR_08020401_001","ELP",19,"Chronic","ATTAIN"
"AR_08020402_003","ELA",12,"Chronic","ATTAIN"
"AR_08020402_003","ELP",17,"Chronic","ATTAIN"
"AR_08020402_206","ELA",11,"Chronic","ATTAIN"
"AR_08020402_206","ELP",16,"Chronic","ATTAIN"
"AR_08020402_4010","ELA",2,"Chronic","Not Enough Information"
"AR_08020402_4010","ELP",2,"Chronic","Not Enough Information"
"AR_08020402_507","ELA",11,"Chronic","ATTAIN"
"AR_08020402_507","ELP",15,"Chronic","ATTAIN"
"AR_08020402_607","ELA",9,"Chronic","Not Enough Information"
"AR_08020402_607","ELP",14,"Chronic","ATTAIN"
"AR_08020402_807","ELP",2,"Chronic","Not Enough Information"
"AR_08020402_907","ELP",2,"Chronic","Not Enough Information"
"AR_08040101_032","ELP",5,"Chronic","Not Enough Information"
"AR_08040101_033","ELA",13,"Chronic","ATTAIN"
"AR_08040101_033","ELP",20,"Chronic","ATTAIN"
"AR_08040101_039","ELP",5,"Chronic","Not Enough Information"
"AR_08040101_043","ELP",4,"Chronic","Not Enough Information"
"AR_08040101_4020","ELA",1,"Chronic","Not Enough Information"
"AR_08040101_4020","ELP",5,"Chronic","Not Enough Information"
"AR_08040101_4021","ELA",1,"Chronic","Not Enough Information"
"AR_08040101_4021","ELP",5,"Chronic","Not Enough Information"
"AR_08040101_4050","ELP",2,"Chronic","Not Enough Information"
"AR_08040101_4051","ELP",1,"Chronic","Not Enough Information"
"AR_08040101_4055","ELA",1,"Chronic","Not Enough Information"
"AR_08040101_4055","ELP",5,"Chronic","Not Enough Information"
"AR_08040101_4062","ELA",1,"Chronic","Not Enough Information"
